"ID","MonthlyIncome"
871,5796.69015005252
872,2220.82682874612
873,14570.5958708959
874,1983.91869834939
875,2438.70538055953
876,6882.57494383725
877,5844.53377657822
878,1678.19368549539
879,2238.38088434737
880,14666.1695438536
881,11050.7555688796
882,2487.87793493363
883,6042.92462236112
884,5669.85846985443
885,6374.93754785414
886,5908.2504567516
887,6360.93182904263
888,6104.84665038461
889,6355.0324154971
890,2428.71031135696
891,6245.3041642846
892,9972.33912476674
893,9995.71783744573
894,5642.35317522964
895,11075.6827889789
896,10135.9806966526
897,10017.0859450152
898,13954.7063579323
899,6187.2440579093
900,2300.77729729719
901,2387.64679458449
902,5962.55073016397
903,6676.7224151019
904,2553.39252923342
905,14580.8616673745
906,5548.32765255686
907,10369.1572561628
908,6180.35810409134
909,2179.63449011909
910,2112.09875267858
911,18294.9976955931
912,2142.0899978316
913,2295.73160639236
914,10193.741396029
915,6075.79139614475
916,6011.7163106805
917,2121.48202291794
918,6077.85137682552
919,2074.38172186176
920,2635.58623837798
921,2269.86606773014
922,2152.26793698914
923,6306.1634722514
924,5972.61522750799
925,15089.4266931742
926,2471.80222665817
927,6346.27869625222
928,10549.0757517849
929,1770.37956409128
930,2173.6819911356
931,6243.93071304274
932,9914.51335753244
933,10026.468861083
934,1889.57671179605
935,2127.53409604964
936,1933.69075995063
937,10448.5752816242
938,10103.2298275625
939,6825.04869456572
940,2048.41866902198
941,2868.12017730042
942,10138.5305818646
943,10989.8616749903
944,5927.1674253364
945,1970.04066045238
946,5722.2888733645
947,2161.58204893561
948,2161.50473410762
949,2022.82898860638
950,5787.28795689172
951,2285.49417817199
952,6192.37271952519
953,6120.06968610449
954,1915.91231148552
955,5931.76191541827
956,9920.4158972226
957,11520.7062730101
958,2148.17667613151
959,10670.5885562867
960,19109.1866282656
961,2361.29783005373
962,6229.92331782917
963,6204.33613701958
964,6322.70555544383
965,2114.15900635261
966,18416.8133648118
967,2257.98475013852
968,10097.7568364594
969,14554.9678473634
970,2334.51834739742
971,6203.42930771565
972,6212.57386967181
973,2029.1625396796
974,2016.01421610584
975,5898.99679153031
976,2280.18780994268
977,6846.46139051315
978,2366.21717596581
979,10292.2859821063
980,18209.2088752841
981,2230.26823243665
982,10226.4089094763
983,2328.37597409706
984,2196.95516501126
985,6108.99722988914
986,2056.35393080577
987,1812.45921275247
988,6128.98092369728
989,10248.7132540238
990,2260.11363919764
991,6414.2704280003
992,2327.62440764307
993,6442.74178535124
994,5660.61173594274
995,5609.74581037787
996,6568.48094868474
997,1889.49810737904
998,14749.9254464312
999,10190.454282297
1000,2104.05764443687
1001,6684.19846940033
1002,5658.17758503878
1003,6284.16742827812
1004,6811.01887173609
1005,2497.7301656171
1006,6159.30600195001
1007,2063.9687783619
1008,6314.88634132468
1009,18238.7066743482
1010,6488.14352813312
1011,10064.0070502097
1012,6330.8115278095
1013,6349.74885045098
1014,6086.40812174005
1015,5792.93422875652
1016,2541.78394794197
1017,2541.43712164554
1018,10060.8798832332
1019,10071.653362605
1020,1695.65167956261
1021,6271.66509153658
1022,5679.17052995916
1023,6204.30887982506
1024,10556.3777614126
1025,14039.7991629324
1026,17720.1822590015
1027,6268.71531231578
1028,5952.94583897305
1029,5844.79112263849
1030,10876.2584726507
1031,5974.21152171044
1032,2663.7665873094
1033,10019.4923998791
1034,2006.85540963172
1035,5980.68540008434
1036,2057.06945997126
1037,5963.36672686659
1038,10418.8264172575
1039,10014.6889029712
1040,6233.34828872383
1041,2068.9372415003
1042,2438.78110335787
1043,9947.01266544391
1044,6828.5323174608
1045,2016.38664799863
1046,1802.16525973622
1047,6193.02126428717
1048,9671.11498111617
1049,2355.61220365799
1050,6132.8350530634
1051,11280.6282227146
1052,2085.20845110811
1053,6157.49526386025
1054,2303.50511762101
1055,2089.18535511124
1056,2417.55721937962
1057,5789.89744527793
1058,14348.9823006991
1059,6839.1275049607
1060,2366.05458024993
1061,6553.98382583348
1062,5926.95180586862
1063,6304.38349305932
1064,2185.30021674889
1065,6064.73903827104
1066,2383.45348566573
1067,3073.16159871986
1068,18700.1969178731
1069,5701.27060494359
1070,2306.51561156658
1071,2259.01027475239
1072,6437.75474311657
1073,2212.63568748641
1074,6359.84583796225
1075,5968.92961372102
1076,14611.724072167
1077,18271.8001053195
1078,6319.40826171077
1079,6285.09385095429
1080,6393.1159376295
1081,2552.14283527358
1082,2201.69864149076
1083,1721.27665209274
1084,6596.15354077979
1085,9733.71046018948
1086,10226.0119509769
1087,6079.68623853244
1088,2374.19266839021
1089,2414.63441185733
1090,6036.19385453751
1091,6072.39421936167
1092,6261.46351598926
1093,9724.33883139309
1094,6073.89274521034
1095,5720.99749655548
1096,6109.32598676133
1097,2880.80978598992
1098,1965.03764383314
1099,2439.76024873479
1100,6376.85725720526
1101,18012.787291828
1102,6077.40276422416
1103,6101.16576028474
1104,11310.1455433782
1105,2474.75594886672
1106,2042.9623215292
1107,2560.46367434108
1108,6167.65571827117
1109,5715.75130548991
1110,6103.6683972918
1111,6145.11654929767
1112,10282.4945850884
1113,10278.9926663122
1114,6401.64296937293
1115,10888.1767566594
1116,2012.1540303019
1117,6747.35437288559
1118,5836.59316295684
1119,10738.2564471167
1120,2451.82975667228
1121,10600.4977201637
1122,14327.7932899724
1123,6024.41691322025
1124,14030.4352149674
1125,2026.68787641388
1126,1637.51355863288
1127,1940.06335884107
1128,6131.40931599106
1129,14429.9978704454
1130,2320.58801877209
1131,9647.7634028482
1132,14257.8027593385
1133,6262.06943869231
1134,1797.26537477466
1135,2525.21500425506
1136,2414.54674983094
1137,2886.06080561487
1138,5922.17751871974
1139,10464.815522246
1140,14026.6860705435
1141,6327.09393168271
1142,6305.18888489625
1143,10959.5142367344
1144,5955.37907018933
1145,6232.64991085329
1146,6077.50916003094
1147,6128.58920323421
1148,2169.95715357322
1149,2153.60665056229
1150,6387.42159389845
1151,1936.23230259252
1152,5853.33635848034
1153,6428.70999951803
1154,1963.71442478101
1155,6599.69934914388
1156,14301.8146067821
1157,2195.18231483368
1158,6484.48772368589
1159,2316.20187890195
1160,6219.68814831543
1161,2407.83880479948
1162,9938.98082319227
1163,2365.96704076687
1164,10009.2828582446
1165,2026.85239557625
1166,1755.84604261553
1167,10212.9761606217
1168,5975.41437360885
1169,2325.75947068247
1170,2475.19280310708
